,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,fold,model
0,115.56506171226502,1.1760160147015852,24.27062063217163,0.629793372326453,100,0.01,rbf,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.8249213430865779,0.8168700356206303,0.8185062580207078,0.8291263112286597,0.8266690364626254,0.8232185968838402,0.004737432519234185,1,0.99988114535868,1.0,1.0,0.9998811594786817,0.999881141420168,0.9999286892515059,5.8224982638502126e-05,1,svc
0,116.41822552680969,1.028501605391234,24.24473285675049,0.7704666987068123,100,0.01,rbf,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.8230347711068988,0.8131763625541966,0.832447129551034,0.8312247223868062,0.8317271654192601,0.8263220302036391,0.007407879179308912,1,1.0,0.99988114535868,1.0,0.99988114142598,1.0,0.9999524573569321,5.822760828322733e-05,2,svc
0,115.92139081954956,1.7271017059966103,23.716769313812257,0.47878447088234216,100,0.01,rbf,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.82783033659322,0.8257614121979527,0.8195905162004999,0.8123652807408162,0.8190338896390222,0.8209162870743022,0.00547174772889553,1,1.0,0.9998811254286888,1.0,1.0,1.0,0.9999762250857378,4.754982852448464e-05,3,svc
0,113.55552082061767,1.5777513385222546,22.499187994003297,0.5137164705342815,100,0.01,rbf,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.8048343481844256,0.830582526686833,0.8379267403138078,0.8118262038076006,0.8166482905000448,0.8203636218985423,0.012171595463939335,1,0.9998811594786817,0.9998811594786817,0.9998811594786817,1.0,0.9998811736011441,0.9999049304074379,4.753479659574891e-05,4,svc
0,104.35935649871826,1.7319735529134344,22.322459983825684,0.40660729701293297,100,0.01,rbf,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.8115896473926771,0.8224555931304502,0.8162953613060416,0.8239468239962956,0.8132946147809571,0.8175164081212843,0.004902790714439528,1,0.9998811594786817,1.0,1.0,1.0,1.0,0.9999762318957363,4.7536208527310105e-05,5,svc
