,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,fold,model,param_model__criterion
0,409.2182650089264,1.5989848541275269,0.5876583576202392,0.03616763442457867,4,sqrt,700,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__n_estimators': 700}",0.6103348521792491,0.6187639235705061,0.6185949841801573,0.6048812719898996,0.6043200472434108,0.6113790158326446,0.006320554592974021,9,0.6279524029134307,0.6235728472130859,0.6307700646420639,0.633555513409701,0.6255318098550375,0.6282765276066637,0.0035734733706399525,1,random_forest_classifier,
1,521.6686469078064,2.620716482081374,0.8305593013763428,0.12675638369466588,4,sqrt,900,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__n_estimators': 900}",0.603696564506109,0.6230267744647808,0.6138127021817277,0.6032952484815324,0.6155170843344896,0.6118696747937279,0.007508399872345895,8,0.6291775178275756,0.6307322516562186,0.6356968559783422,0.6321597109895454,0.6254953280218516,0.6306523328947067,0.003361415404601497,1,random_forest_classifier,
2,628.0456986427307,8.090700097741486,0.7730566501617432,0.05402268954938152,4,sqrt,1100,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__n_estimators': 1100}",0.6097165188747489,0.6169343280029972,0.620666472852351,0.6027671047837725,0.6128548633835748,0.6125878575794889,0.0061468511190800506,7,0.6324041408568644,0.6312768336569005,0.6322975891077088,0.6304224978939996,0.6302016869446769,0.63132054969203,0.0009153182838100225,1,random_forest_classifier,
3,135.28378205299379,2.3677414594493755,0.5626677513122559,0.03429024299062495,4,log2,700,"{'model__max_depth': 4, 'model__max_features': 'log2', 'model__n_estimators': 700}",0.5527795933148466,0.5718954975123699,0.5745531011448759,0.5644766839617866,0.5558346450874193,0.5639079042042596,0.008561100293676278,10,0.5802011485523164,0.5889627833664619,0.5807263853348498,0.5907214676031679,0.5743545640928649,0.5829932697899322,0.006048505204422927,1,random_forest_classifier,
4,177.1013538837433,6.2667760932659125,0.894997501373291,0.4219136887102225,4,log2,900,"{'model__max_depth': 4, 'model__max_features': 'log2', 'model__n_estimators': 900}",0.5502191075660033,0.5703359841985378,0.5735640830165578,0.5552331381092224,0.5579068902261817,0.5614518406233007,0.008978281005533087,11,0.5774249736031677,0.5838811488081528,0.578298259333886,0.5864007748512112,0.5799808667056157,0.5811972046604067,0.0034174197311559445,1,random_forest_classifier,
5,216.61003952026368,3.3014299640151012,0.7683503150939941,0.0974468092692363,4,log2,1100,"{'model__max_depth': 4, 'model__max_features': 'log2', 'model__n_estimators': 1100}",0.5499590151822797,0.5635583018678415,0.5776012886828279,0.5436357297232491,0.552274698383691,0.5574058067679778,0.011975881476674432,12,0.579007747683948,0.5806746198572386,0.5806375057441152,0.5811436002156316,0.5726573782985491,0.5788241703598965,0.0031671794510368815,1,random_forest_classifier,
6,800.8411720752716,10.048264106264469,0.8878215312957763,0.03478414916936003,10,sqrt,700,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 700}",0.7552065328873582,0.7571200641765119,0.7475858946004837,0.7490112440625504,0.756928631117879,0.7531704733689567,0.004058454484651285,2,0.9648937373632923,0.9639534263295456,0.9663356265033959,0.9671857781172378,0.965411252703955,0.9655559642034854,0.001121764693573711,1,random_forest_classifier,
7,1016.2211891651153,5.001860545535603,1.1537484169006347,0.026191073928550825,10,sqrt,900,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 900}",0.7499448826794444,0.754956985219088,0.7571727464214735,0.7498231119626199,0.7580151803883594,0.7539825813341969,0.0034926398963042024,1,0.9628814805745999,0.9650381406790053,0.96490511036838,0.9649299271176438,0.9671785316988688,0.9649866380876995,0.001360044203524128,1,random_forest_classifier,
8,1188.4208412647247,55.42809905657494,0.9674497604370117,0.38490832363792876,10,sqrt,1100,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 1100}",0.7570445840557088,0.7546167024749721,0.7513486704069601,0.7441225118008007,0.7562082889621071,0.7526681515401099,0.004695776278545828,3,0.9644203034571179,0.9674084578426294,0.9628908475249307,0.965876714812524,0.9663510502868211,0.9653894747848046,0.0015761189120538344,1,random_forest_classifier,
9,260.46575717926027,1.7089916118962227,0.9648192405700684,0.011646388488004797,10,log2,700,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__n_estimators': 700}",0.7002257186792445,0.704544023062753,0.710583231606044,0.6879233987384553,0.7043899463863399,0.7015332636945673,0.0075639318514123186,4,0.9560957261874534,0.9592814727967293,0.9581042280091908,0.9570709756944746,0.9588490797734501,0.9578802964922597,0.0011654761029656487,1,random_forest_classifier,
10,328.3968960762024,8.990925284774434,1.2343522548675536,0.09383824816422798,10,log2,900,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__n_estimators': 900}",0.7029819129298728,0.7077658376392153,0.7024368849031466,0.679548777576606,0.6998197065040997,0.698510623910588,0.009821733509604257,6,0.955619990743161,0.9592973195593739,0.960031851940663,0.9576621811111619,0.9603865512242203,0.958599578915716,0.0017600101350377015,1,random_forest_classifier,
