,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,fold,model,param_model__reg_param,param_model__tol
0,23.13650770187378,0.3640065482784355,1.3958637714385986,0.06246871279490689,1.0,{'model__var_smoothing': 1.0},0.10542003595621244,0.08960567302728904,0.08719701315965273,0.10280198400484657,0.09925973734088392,0.09685688869777694,0.007215797321065131,100,0.10399599795649489,0.09919329649197256,0.09129056820966415,0.10128556890280341,0.09714617898128235,0.09858232210844348,0.004294668814201552,1,gaussian_nb,,
1,23.067908906936644,0.11045704954646125,1.4096243858337403,0.0673455523135287,0.8111308307896871,{'model__var_smoothing': 0.8111308307896871},0.10697616430305538,0.10094122683693597,0.09708892754694672,0.10883580748154413,0.10833412135992847,0.10443524950568213,0.004630313185376935,99,0.10918621617032319,0.1108904316835534,0.10183093582257426,0.10588608022922016,0.10417310917809844,0.10639335461675388,0.0032871343193651595,1,gaussian_nb,,
2,19.14562530517578,2.9897541297523973,1.2850774765014648,0.09420433224769799,0.657933224657568,{'model__var_smoothing': 0.657933224657568},0.12065547745323192,0.10462735516756426,0.10433324764254258,0.12251172867254632,0.12143889699518291,0.11471334118621361,0.008376519416632627,98,0.11822506163080151,0.11616190754466543,0.11211315127593433,0.130317684122639,0.11890347716815898,0.11914425634843986,0.006067606195128743,1,gaussian_nb,,
3,17.23772773742676,0.7749968780849977,1.3772476196289063,0.10203926396499224,0.533669923120631,{'model__var_smoothing': 0.533669923120631},0.12809574962032233,0.1169306095504835,0.11747694295090938,0.13553536933028337,0.12794056495222803,0.12519584728084532,0.007081585467662179,97,0.13000853559696773,0.12687277807856967,0.12135522443426952,0.13963951541106975,0.12973523219917424,0.1295222571440102,0.005939038685688108,1,gaussian_nb,,
4,18.047541618347168,0.2525948494149258,1.498631763458252,0.06635380014206851,0.43287612810830584,{'model__var_smoothing': 0.43287612810830584},0.14775139907856513,0.14001974164990902,0.13547276067916958,0.14203023999862785,0.13814906633411791,0.14068464154807792,0.004142092053944388,96,0.15857707168880988,0.14614789458329214,0.14371445914882056,0.1484275737459218,0.1430070045943236,0.14797480075223357,0.005635250620705652,1,gaussian_nb,,
5,16.86097655296326,0.7117198565595515,1.4115963935852052,0.09368686862985756,0.3511191734215131,{'model__var_smoothing': 0.3511191734215131},0.15489069078386083,0.15495754244315335,0.1452575920947933,0.15668039573969272,0.15347234822882652,0.15305171385806532,0.004027570440401363,95,0.17250143664473308,0.16621748095859692,0.1589816667646696,0.17009287724123212,0.16005898298633164,0.16557048891911266,0.005342244963317227,1,gaussian_nb,,
6,16.506732273101807,0.6802239485078491,1.5040458202362061,0.09360261372889396,0.2848035868435802,{'model__var_smoothing': 0.2848035868435802},0.16752413322450638,0.17390090631132424,0.16129542889085227,0.18273106416624138,0.16683498710858738,0.1704573039403023,0.0073234993203060384,94,0.18590669527412584,0.18674613280631,0.17230418995310887,0.18716091054740136,0.17884025222543082,0.18219163616127537,0.005800554432656175,1,gaussian_nb,,
7,16.383484649658204,0.3679883315202625,1.3268377780914307,0.12718039459489608,0.23101297000831597,{'model__var_smoothing': 0.23101297000831597},0.18984187042259426,0.18952070080162337,0.19221688055859903,0.20577552603289365,0.18374664613391892,0.19222032478992584,0.007327915630260074,93,0.2059084505986195,0.2055849381376402,0.2028071628052829,0.20725194459404717,0.20875325432786676,0.2060611500926913,0.0019750415178293244,1,gaussian_nb,,
8,16.29969701766968,0.725546142817757,1.3513498783111573,0.10836562099224896,0.1873817422860384,{'model__var_smoothing': 0.1873817422860384},0.22067927670984006,0.20725928884382752,0.21222810374052703,0.2285225742605043,0.20639032257584633,0.21501591322610905,0.008447976039839525,92,0.2334105675859622,0.22617252070218014,0.21662322918286345,0.23539517317751277,0.22878844493448922,0.22807798711660157,0.0065927939176076466,1,gaussian_nb,,
9,16.860679149627686,0.7368130858381826,1.4504169940948486,0.1700154660594049,0.15199110829529336,{'model__var_smoothing': 0.15199110829529336},0.2348224469620027,0.23715637370041368,0.23664311709748848,0.24837644256096497,0.23009706551823395,0.23741908916782073,0.006018128056516313,91,0.2574386195445295,0.2589773270124904,0.24659519589794424,0.2558962250969298,0.2458864443637186,0.2529587623831225,0.005575546397589478,1,gaussian_nb,,
10,16.31515254974365,0.32517518138715046,1.2755897998809815,0.1195070395140342,0.12328467394420659,{'model__var_smoothing': 0.12328467394420659},0.268698078445386,0.24477532580825084,0.2553816141842454,0.28388199403902303,0.2536955058307285,0.2612865036615267,0.013642562721753319,90,0.284707894984519,0.2799829430481874,0.2697979189903486,0.27995497706440686,0.27510515556861326,0.2779097779312151,0.005066821698863739,1,gaussian_nb,,
11,17.265550231933595,0.4677428836282954,1.5768841743469237,0.10507011564326241,0.1,{'model__var_smoothing': 0.1},0.28848921246521364,0.26871606504200374,0.2798233922490494,0.2999906728014268,0.27714797671721697,0.2828334638549821,0.010649352613988486,89,0.3038594236326237,0.3037600795812072,0.28972507129313435,0.3070482667355495,0.29882108425516213,0.30064278509953535,0.006059860593317217,1,gaussian_nb,,
