,model,fold,loss_test,acc_test,f1_test,cfg
0,svc,1,0.1726235741444867,0.8273764258555133,0.8262016460353437,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}"
1,svc,2,0.16844106463878328,0.8315589353612167,0.8309504724295198,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}"
2,svc,3,0.17763408139977177,0.8223659186002282,0.8217486347874372,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}"
3,svc,4,0.16584252567516167,0.8341574743248383,0.8335736280956803,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}"
4,svc,5,0.17230886268543177,0.8276911373145682,0.8277020791427105,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}"
