,cfg,fold,loss_test,acc_test,f1_test,mean_loss,std_loss,mean_acc_val,std_acc_val,mean_acc_train,std_acc_train,mean_f1_train,std_f1_train,mean_f1_val,std_f1_val
0,0,1,18.94040316700235,13.612167300380229,0.14800567779220264,0.28939838180325844,0.013899944708818333,75.37584208474046,0.47510051705656375,88.25477542405645,0.5624072775408051,0.8817853572246663,0.005654005939586617,0.7544296847400335,0.003961511211697681
1,1,1,13.517536217130843,22.813688212927758,0.2160873323489779,0.2964467979239377,0.022876210657972657,75.67153955276675,1.2574951843477027,87.90950008550182,0.9688838669807288,0.8783103650368543,0.00975966746852516,0.7574546899104584,0.012299080648758882
2,2,1,18.105447589384315,12.433460076045627,0.14257203865374204,0.30100987914412836,0.02029330233423565,75.82347142231869,1.1438758643710916,87.69993403139078,0.8654727285145585,0.8762706965202064,0.0086916475857141,0.7589305162966912,0.011460467398231906
3,3,1,0.7513022621851875,67.98479087452472,0.6840678282165312,0.41088021581813655,0.1915398558724985,72.57577337591593,5.793029086288545,83.02794878638923,8.142959754795548,0.828278163483368,0.08365889129960008,0.7271537862966415,0.05690287696677483
4,4,1,1.1681893649663309,49.58174904942966,0.5053972035186385,0.6117752035316406,0.4370514874090502,66.67114829101607,12.934831077240412,74.47467481672155,18.603783467477257,0.7393886729083821,0.19300491452836302,0.6690606750993989,0.12723973501652527
5,5,1,2.254341292290633,18.631178707224336,0.15414534872213784,0.8867280893241882,0.7329248501032521,57.278686069695674,24.25298072792671,65.78297646919926,25.818212757326123,0.6403024252107382,0.2832152997063691,0.5702754174477528,0.2504506546787419
6,6,1,12.516398928787554,19.20152091254753,0.18658845148720518,0.8061536638456669,0.7066824284719491,59.65943120036136,23.200582218947215,68.74181888009514,24.9778306678075,0.6722843303950247,0.27366074421254927,0.5943450497173417,0.23927043091517675
7,7,1,9.610622475750114,20.15209125475285,0.193251534027873,0.7500744932375483,0.6774934104614132,61.34540696155053,22.158501916311774,70.76228766061521,23.968631574827043,0.6942798714919283,0.2625204369145717,0.6113192244145347,0.22830581975457742
8,8,1,8.661695050397412,25.05703422053232,0.2192527948046446,0.7125967382724614,0.6474979757288788,62.37092106090891,21.092657728084024,72.0702016166749,22.899502291352295,0.708747435802841,0.2508745846456417,0.621693136259232,0.21725102108870395
9,9,1,2.7703742822461335,25.893536121673005,0.2406368639985365,0.7302365720538421,0.6166220350008407,61.64118243020147,20.130258073385185,71.05057316448642,21.94209970408955,0.6991666123225245,0.23976170061414226,0.614613165770724,0.2072034700775516
10,10,1,2.1780817698616493,28.022813688212928,0.22463453349307305,0.7889660563710077,0.6165898618264212,60.10515581080801,19.80298906527405,68.30959128525161,22.646508665517338,0.6711010512206352,0.24523679201485551,0.5998812795700048,0.20302619136066236
11,11,1,2.2895790770026667,19.125475285171103,0.1480345850960836,0.9124737238468661,0.7185430371930448,56.21978401199273,22.985343552178588,64.40577581268946,25.26496830499871,0.6276096442283596,0.27571071715145906,0.5577991198593951,0.23980134008520232
12,0,2,5.828177789484901,22.509505703422054,0.1911307316289795,0.4404777290792139,0.017572126791227244,66.56512539951655,0.5320076105338898,81.25446755363915,0.8258791045361871,0.8113079710194132,0.008362336776714288,0.6647865886166257,0.005822741582763932
