,cfg,fold,loss_test,acc_test,f1_test,mean_loss,std_loss,mean_acc_val,std_acc_val,mean_acc_train,std_acc_train,mean_f1_train,std_f1_train,mean_f1_val,std_f1_val
0,0,1,0.3488844590424111,87.49049429657795,0.875153253603781,0.29629248226864957,0.010081677399415144,75.74869113891856,1.0655982237274415,87.93917681756135,0.4191466244628411,0.878681992797093,0.0042164159549358616,0.7570648232723683,0.011734820879416708
1,1,1,15.09172840328976,20.228136882129277,0.2099981015356335,0.2911105779758554,0.017378793283753306,75.66804420323624,1.4878005211587022,88.15938206007347,0.770204063252602,0.8808685674801175,0.007761777939368349,0.7569265893679469,0.014912498360381166
2,2,1,0.3566319216321408,85.96958174904942,0.859863631846562,0.28809979375013073,0.018395254205471664,76.1004834370153,1.4128677873786022,88.26749480729647,0.7914205216219261,0.8819713812196538,0.008003635331183668,0.7612349061406211,0.014059597059680188
3,3,1,10.582386053269675,25.247148288973385,0.2177606236319981,0.29775135085132426,0.024153873743501253,76.00713496907045,1.3123085897166304,87.83491360875563,1.064710338365843,0.8776452823659394,0.010679692431864835,0.760354077979897,0.01307050709618036
4,4,1,9.631388605405196,25.32319391634981,0.23510945394690919,0.3194785979664373,0.048999871786368374,75.56730174519555,1.5641611956716301,86.88544142200355,2.148539032560285,0.8680857929745674,0.021630310996899493,0.7559715726085371,0.015597220635924003
5,5,1,9.227713168854029,16.768060836501903,0.18135796145259123,0.36164749446491046,0.10556354769051668,74.34586730196914,3.096015222328662,85.05687946652637,4.5878898541499575,0.8496033222703291,0.04635070246930746,0.7436515375257553,0.031135927813504764
6,6,1,3.2883611043405225,29.46768060836502,0.2795720620474834,0.4235218964517945,0.18081432853452772,72.46255773601699,5.439224280021469,82.36850907191352,7.85630658257688,0.82207602600878,0.08013895415635057,0.7252460765675899,0.05359465917225427
7,7,1,2.7795628978498987,24.524714828897338,0.21132100067551815,0.5193740967284256,0.30525654033580835,69.63702226377434,9.057991247756268,78.17392913273363,13.321445935834351,0.7785437707549492,0.1375676305446611,0.6972639333308122,0.08953455347087406
8,8,1,2.800085717530305,12.623574144486692,0.11541528456155097,0.6291632202139084,0.4243255279170298,66.23146355784712,12.933324358870777,73.57200178579828,18.10845512159248,0.7303368650482701,0.1884432431594365,0.6635771022162604,0.12786548732412306
9,9,1,1.7579850240805304,31.634980988593156,0.2603129016471737,0.7414492361495829,0.5250204152579645,62.45353000960803,16.713792799581523,69.17161743061338,21.66738932253882,0.6825868676346242,0.2290985909184274,0.6259644813167121,0.16575808243739198
10,10,1,2.1828481689152155,24.90494296577947,0.21438346555657428,0.8587662713813994,0.6231612300385027,57.37921506524899,22.643544668968755,64.85417108890789,24.764938911177023,0.6317124623859147,0.27133582671477796,0.5744363320679479,0.22725380019902716
11,11,1,2.276625213514263,24.03041825095057,0.1931992858262677,0.9759355326558438,0.7120291492077437,53.83950600169931,24.71086747135302,61.46490350380355,26.243616984439,0.593731867898324,0.28877814484316117,0.5360101183474344,0.25286063192589386
12,0,2,5.146461431692202,22.395437262357415,0.19335661348695976,0.4189726063157468,0.009886172833492888,66.84652921939853,0.3880409886610976,82.20638300550954,0.369503129959289,0.8208021460482984,0.0036260698384840136,0.665592418135556,0.005782321017068043
13,1,2,5.980422759422246,19.923954372623573,0.15317193448516653,0.42927613240267115,0.01305378479643622,66.87309611541534,0.6572603081285298,81.75897536343844,0.5466792129450373,0.8163121262751194,0.0054882133559567585,0.6664947617111392,0.00774754706782787
14,2,2,6.758146308715891,19.96197718631179,0.1558947074099341,0.4421351055230408,0.022131959182543837,66.660231659187,1.0046686743487951,81.1294028640665,1.0360379089498082,0.8099938548641992,0.010424389217759017,0.6645422417165953,0.009922003684729702
15,3,2,2.586428694424345,36.7680608365019,0.34241823825601553,0.46434569072460635,0.043681647005174455,66.26136959589692,1.3718056898543716,80.18511485723353,1.897172504799505,0.8004924564534758,0.019108216974973356,0.6607122485804324,0.01368112213041599
16,4,2,0.7259471106566285,69.1254752851711,0.6901438704243338,0.498248445755544,0.07875466936952419,65.5710982292611,1.908598651362397,78.68579518713211,3.4681629042081297,0.7854558330382776,0.034823204057570466,0.6538356043870077,0.019055972374047637
17,5,2,2.6036797119134563,33.99239543726236,0.29362362226435906,0.5333619785684427,0.1071759985855054,64.97416463419023,2.2298772729574936,77.13918866498096,4.723690552324844,0.7697652092645935,0.04770307420285492,0.6481300581283088,0.021968323778875073
