,cfg,fold,loss_test,acc_test,f1_test,mean_loss,std_loss,mean_acc_val,std_acc_val,mean_acc_train,std_acc_train,mean_f1_train,std_f1_train,mean_f1_val,std_f1_val
0,0,1,0.3720401368914773,85.2851711026616,0.8531340039380768,0.30636006335827803,0.01772049227736753,79.64351916014026,0.993015620372984,87.46980233531288,0.7599011031488162,0.873412463074376,0.007689296738834772,0.7979285257125632,0.009757705307637246
1,1,1,0.3443204280999076,85.17110266159696,0.8520682176047164,0.30273132422789983,0.02083117283161394,79.78383492186961,0.7889344639960449,87.63224058706388,0.8833833182449362,0.8750751357868346,0.008986111497302293,0.7991555914045031,0.007690583895779141
2,2,1,0.3611844582810057,85.2851711026616,0.8530996909697722,0.30468939987223503,0.018805503079924134,79.53646450682469,0.9544511658025603,87.5593459105827,0.7872049407742021,0.8743398773066773,0.008016120913035886,0.7964860423117988,0.009294994057813453
3,3,1,0.35255013230764193,85.81749049429658,0.8588610977968172,0.306855362231672,0.018823658668616784,79.50010336328101,1.0042048697207375,87.45578253849101,0.7996930393265703,0.8733032796327466,0.008138848794562803,0.7959055006264845,0.010032458693077862
4,4,1,2.237197299425609,10.798479087452472,0.09786411172546225,0.673969309519361,0.7344256197430179,65.16883210140163,28.68114992823852,73.07815781599753,28.77395580283834,0.7138851214945148,0.3189540933050257,0.6474112023431153,0.2971863903149277
5,5,1,2.2400010085626123,15.361216730038024,0.17049298567231239,0.9180434685915567,0.8644941133249723,55.84486479775242,33.53302771363468,63.5953858761096,33.76108827914968,0.6090681789830091,0.37381672219211953,0.5525364092073756,0.3449044451409387
6,6,1,2.189708270429445,18.8212927756654,0.1728154635359044,1.087874647232159,0.9020219714195313,50.320853860771926,33.87029918449691,57.59447273070923,34.542632651890884,0.5440259212000541,0.3810168940046859,0.49471445479361953,0.34933463891608363
7,7,1,2.1907051178502996,19.923954372623573,0.20909484604791287,1.2149379398714724,0.908270858514681,46.180035638374214,33.52977179656966,53.02808588276364,34.49993264067572,0.4948957428542304,0.3794012988971457,0.45225382966947886,0.34559610092904824
8,8,1,0.3935940099052021,83.38403041825094,0.8344084561620401,1.121332259555149,0.8963325387765345,49.67603250601273,33.123397758258264,56.546741188275895,34.015857105783866,0.533772317881525,0.3742275387982475,0.4883314880622222,0.34144592690421116
9,9,1,0.38202104756413896,83.99239543726236,0.8415456854879457,1.0478281729319332,0.8784796962266999,52.50196224750474,32.54769931393804,59.29988081459315,33.3113117386664,0.5642591648322588,0.3666227324383241,0.5176128782564886,0.33563004943914065
10,10,1,0.39444802774343785,82.85171102661597,0.8294682673246843,0.9848258040197297,0.8609697563927405,54.8245300065866,31.89316028124787,61.67821653086553,32.63965886039308,0.5904976164718094,0.3592756953472299,0.5416969885277089,0.32897476301868744
11,11,1,0.40356257835193726,82.31939163498099,0.8245876629817301,0.9353013844892579,0.8405368628969929,56.70775067035807,31.168485366225735,63.53225038837984,31.849898407832196,0.6110567306811505,0.3506788793950202,0.5612458767156532,0.32158063448821694
12,12,1,2.272941602668684,9.961977186311787,0.06283683459079835,1.029060308342603,0.8704296564493008,52.616821941995134,33.14527329241027,59.61106962727961,33.48733833378417,0.5679379658727843,0.3686048069468765,0.5195776031264701,0.34108188615936275
13,13,1,2.2725000020492705,10.684410646387832,0.09113191160917736,1.109432597361356,0.8874197881762698,49.1944090622411,34.25095763474009,56.43416328837981,34.243268538298445,0.5326313427522212,0.37732511147567976,0.4846649665094233,0.3520494770349549
14,14,1,2.189501706944706,21.520912547528518,0.14572654725632017,1.1772859725587594,0.8941319982433618,46.950935024892395,34.156398269585175,53.908651718801956,34.4063911172204,0.5050556015256519,0.37886688474563784,0.4593969294123452,0.35314653943127966
15,15,1,2.184852990198262,23.422053231939163,0.21888279501262506,1.2366361008522986,0.8957353342331341,45.23823609044795,33.73796602010897,51.665619227787275,34.42799493382448,0.48041602091002344,0.3790509997265147,0.44017564681345045,0.3500113963134511
16,16,1,0.36396624634293273,85.8555133079848,0.8591123583917025,1.1822797297280605,0.8957810608331406,47.26004064039174,33.715369550923356,53.756200823873826,34.43111822933742,0.5033780851631573,0.37903160693563964,0.4611424569218547,0.3497687228177225
17,17,1,0.37200218591367495,85.0190114068441,0.8507074939818063,1.1332052573087241,0.8937684178009329,49.02342419723105,33.56342481463024,55.64267485025596,34.354044563683416,0.524070792472906,0.3781126801889793,0.4794353136719862,0.34819090238939737
18,18,1,0.3544598919415041,85.55133079847909,0.8561405370890357,1.089126271356221,0.8898067145932971,50.64877931920317,33.38891621064414,57.34124804343871,34.20563838746988,0.5427000454149831,0.3764202607291197,0.49629174560605055,0.3463767085308567
19,19,1,0.3503393407046769,85.8555133079848,0.8588219545064663,1.0498024322109205,0.8840531744297335,52.10066816754966,33.15332860467798,58.853460533929955,33.984933769914726,0.5592967006212142,0.3739536934219318,0.5113709924452867,0.34394675787603424
20,20,1,2.253079550936833,15.70342205323194,0.13722056666220445,1.101787556576966,0.8935237352176104,50.016341654277994,33.681612200707626,56.81010402071609,34.40346640739924,0.536687072321146,0.3787026685509915,0.4898545613031982,0.349278842040468
21,21,1,2.2351274794978173,10.38022813688213,0.11055360932161629,1.1491273056021323,0.8995322727413603,48.14981522292803,34.00223062599819,54.910264797622474,34.72248165860729,0.51578675535164,0.38220363811756325,0.47033218799727083,0.3528329681630057
22,22,1,2.19513705020986,18.70722433460076,0.17225493616081172,1.1907831534325048,0.9011961483792362,46.769094484618265,33.881740089189634,53.46854375416171,34.62699315646567,0.5000763321215415,0.3809980717025264,0.45570981754275947,0.3518807323804493
23,23,1,2.185148502359068,18.288973384030417,0.14700439458833467,1.2289964643938203,0.9010567555411855,45.57030924296023,33.6634187749777,52.11237443187281,34.516500764580385,0.4854846313137398,0.37949862597417794,0.44236262487629147,0.3503707831966503
24,24,1,0.3897240468870586,83.2319391634981,0.8335132027454143,1.1953780212299143,0.8980863422089161,46.837039376736705,33.56324309709656,53.38983331907702,34.39351235175515,0.49959559144662985,0.3782047314092195,0.4556432282665191,0.3494160487311363
