,cfg,fold,loss_test,acc_test,f1_test,mean_loss,std_loss,mean_acc_val,std_acc_val,mean_acc_train,std_acc_train,mean_f1_train,std_f1_train,mean_f1_val,std_f1_val
0,0,1,7.438042848491856,27.186311787072242,0.24377166431427197,0.315209206611749,0.007994207977501748,75.75968189845837,0.7571060264424414,87.23546751380154,0.3546800062083616,0.8715185053035643,0.0037061651160168233,0.7588032133391829,0.007283653501295844
1,1,1,12.71892581741306,17.186311787072242,0.17579526388872105,0.34628785116645655,0.03182691430601239,75.09160587943609,1.1204202498166225,85.92763553067536,1.3450010819885319,0.8583839173329025,0.013510519581361376,0.7522000001972904,0.010925795094120188
2,2,1,0.5451156167184149,77.79467680608364,0.7797619807210403,0.39631596666920277,0.07806916838104436,73.97218448273576,1.922043168600925,83.84435733494988,3.27126808365628,0.8372292818672399,0.03315579185436827,0.7409745315871097,0.019168174560363637
3,0,2,19.294691336883943,9.049429657794677,0.10340609290543445,0.32692305992585285,0.016788238011784105,75.62141803564786,0.7560905551712637,86.54083224927294,0.7302360851982201,0.8646862620588716,0.007525370888469858,0.7564351963903169,0.007088721988183514
4,1,2,9.275938931517429,23.079847908745247,0.21918445960204697,0.3738692636715314,0.05116087113617843,74.30811183920814,1.5578683305491285,84.50199519512311,2.224381238875778,0.8441266860349179,0.02243030745413758,0.7432594273278559,0.0158309583281371
5,2,2,11.009373556300574,14.600760456273765,0.1530860165978481,0.4327632587629784,0.09422080376337862,72.26615312933707,3.1727636085777418,81.95910444541218,4.078271019488593,0.8183683663958796,0.041276132481438695,0.7233175176960527,0.031197838408269826
6,0,3,11.548972782974001,20.92050209205021,0.20694116104767418,0.36210956859037824,0.013644407057381151,73.54610196830149,1.0250044604917539,84.83207617033361,0.5918764810101669,0.8474498835916853,0.00602890432168025,0.7343991443071836,0.010215899803090775
7,1,3,7.342044833852484,26.816279954355267,0.22814111906208426,0.41775904656543644,0.05793139996806836,71.64361731358237,2.173352520559296,82.38512898385088,2.5512950664871226,0.8229096108759425,0.025580381503426255,0.7157151058556289,0.021410485369884987
8,2,3,6.290538202472846,22.784328642069227,0.18974343915261518,0.49497058147413203,0.12044632714001652,69.02806222274735,4.22524131815249,78.99309164485699,5.296110993080209,0.7885502823548726,0.05356797997648778,0.689723257461644,0.042002527800498166
9,0,4,7.445983089745599,26.511981742107267,0.21345356140165148,0.4321938888256974,0.011797790688406777,69.18297389055621,0.41338920698381654,81.59299348671541,0.5670155944203351,0.8151090683211379,0.005701856874603725,0.6909591617759749,0.00401254586116191
10,1,4,0.7271105006348391,68.16279954355268,0.6817661681596858,0.48690177621520714,0.056249399109800986,67.69702100076847,1.5871301512568694,79.22611944860179,2.439499804209329,0.7912140482706314,0.024600401622728106,0.6763858126584614,0.015498292350323172
11,2,4,2.920217722048119,31.494864967668313,0.28069082798424816,0.5535145682191681,0.10504214925661022,65.58231585041312,3.3241622158484163,76.2702624046972,4.6388878760322765,0.761360508994082,0.04683943709813242,0.6551367191248586,0.03317826161054319
12,0,5,4.604118912307509,28.337771015595283,0.2534895472010849,0.49674165110949053,0.017219252530352367,66.35969237760268,1.5156573751680522,78.77179950558931,0.751325899564902,0.7865571403844983,0.007487464021649318,0.660932391638419,0.017327247133606626
13,1,5,4.033680812578284,25.484975275770253,0.2108367290645617,0.5439504617808382,0.051002923687198866,65.03541457610896,2.154781812159788,76.71383844286943,2.2175904973765754,0.7659858865612719,0.022204047907609357,0.6480773206080743,0.022113268951493896
14,2,5,3.6841195261877453,23.92544693799924,0.17090346091816067,0.604250342107364,0.09629036406246275,63.33950718785892,3.1082162397904507,74.02642667562309,4.2617509556348345,0.7386687990382661,0.04322587531770827,0.6306926318814602,0.03205562461857301
